Found 2102 Java files to convert
[466/2102] ✓ Converted: IFile.java → converted/include/zombie/fileSystem/IFile.h
[467/2102] ✓ Converted: FileSeekMode.java → converted/include/zombie/fileSystem/FileSeekMode.h
[468/2102] ✓ Converted: TexturePackDevice.java → converted/include/zombie/fileSystem/TexturePackDevice.h
[469/2102] ✓ Converted: FileTask.java → converted/include/zombie/fileSystem/FileTask.h
[470/2102] ✓ Converted: WalkingOnTheSpot.java → converted/include/zombie/ai/WalkingOnTheSpot.h
[471/2102] ✓ Converted: AIBrainPlayerControlVars.java → converted/include/zombie/ai/AIBrainPlayerControlVars.h
[472/2102] ✓ Converted: StateMachine.java → converted/include/zombie/ai/StateMachine.h
[473/2102] ✓ Converted: State.java → converted/include/zombie/ai/State.h
[474/2102] ✓ Converted: KnownBlockedEdges.java → converted/include/zombie/ai/KnownBlockedEdges.h
[475/2102] ✓ Converted: MapKnowledge.java → converted/include/zombie/ai/MapKnowledge.h
[476/2102] ✓ Converted: GameCharacterAIBrain.java → converted/include/zombie/ai/GameCharacterAIBrain.h
[477/2102] ✓ Converted: ZombieGroupManager.java → converted/include/zombie/ai/ZombieGroupManager.h
[478/2102] ✓ Converted: JoypadManager.java → converted/include/zombie/input/JoypadManager.h
[479/2102] ✓ Converted: MouseStateCache.java → converted/include/zombie/input/MouseStateCache.h
[480/2102] ✓ Converted: ControllerState.java → converted/include/zombie/input/ControllerState.h
[481/2102] ✓ Converted: Mouse.java → converted/include/zombie/input/Mouse.h
[482/2102] ✓ Converted: KeyboardStateCache.java → converted/include/zombie/input/KeyboardStateCache.h
[483/2102] ✓ Converted: GameKeyboard.java → converted/include/zombie/input/GameKeyboard.h
[484/2102] ✓ Converted: KeyboardState.java → converted/include/zombie/input/KeyboardState.h
[485/2102] ✓ Converted: MouseState.java → converted/include/zombie/input/MouseState.h
[486/2102] ✓ Converted: ControllerStateCache.java → converted/include/zombie/input/ControllerStateCache.h
[487/2102] ✓ Converted: IDestroyable.java → converted/include/zombie/interfaces/IDestroyable.h
[488/2102] ✓ Converted: ITexture.java → converted/include/zombie/interfaces/ITexture.h
[489/2102] ✓ Converted: IMaskerable.java → converted/include/zombie/interfaces/IMaskerable.h
[490/2102] ✓ Converted: ICommonSoundEmitter.java → converted/include/zombie/interfaces/ICommonSoundEmitter.h
[491/2102] ✓ Converted: IListBoxItem.java → converted/include/zombie/interfaces/IListBoxItem.h
[492/2102] ✓ Converted: IUpdater.java → converted/include/zombie/interfaces/IUpdater.h
[493/2102] ✓ Converted: ObjectsSyncRequestJUnit.java → converted/include/zombie/debug/ObjectsSyncRequestJUnit.h
[494/2102] ✓ Converted: GenericDebugLogFormatter.java → converted/include/zombie/debug/GenericDebugLogFormatter.h
[495/2102] ✓ Converted: DebugOptionsXml.java → converted/include/zombie/debug/DebugOptionsXml.h
[496/2102] ✓ Converted: DebugType.java → converted/include/zombie/debug/DebugType.h
[497/2102] ✓ Converted: GeneralErrorDebugLogFormatter.java → converted/include/zombie/debug/GeneralErrorDebugLogFormatter.h
[498/2102] ✓ Converted: LineDrawer.java → converted/include/zombie/debug/LineDrawer.h
[499/2102] ✓ Converted: IDebugLogFormatter.java → converted/include/zombie/debug/IDebugLogFormatter.h
[500/2102] ✓ Converted: BooleanDebugOption.java → converted/include/zombie/debug/BooleanDebugOption.h
[501/2102] ✓ Converted: DebugLog.java → converted/include/zombie/debug/DebugLog.h
[502/2102] ✓ Converted: LogSeverity.java → converted/include/zombie/debug/LogSeverity.h
[503/2102] ✓ Converted: DebugLogStream.java → converted/include/zombie/debug/DebugLogStream.h
[504/2102] ✓ Converted: DebugOptions.java → converted/include/zombie/debug/DebugOptions.h
[505/2102] ✓ Converted: UIDebugConsole.java → converted/include/zombie/ui/UIDebugConsole.h
[506/2102] ✓ Converted: TextBox.java → converted/include/zombie/ui/TextBox.h
[507/2102] ✓ Converted: LoadingQueueUI.java → converted/include/zombie/ui/LoadingQueueUI.h
[508/2102] ✓ Converted: UIEventHandler.java → converted/include/zombie/ui/UIEventHandler.h
[509/2102] ✓ Converted: RadarPanel.java → converted/include/zombie/ui/RadarPanel.h
[510/2102] ✓ Converted: NewHealthPanel.java → converted/include/zombie/ui/NewHealthPanel.h
[511/2102] ✓ Converted: UI3DModel.java → converted/include/zombie/ui/UI3DModel.h
[512/2102] ✓ Converted: UIElement.java → converted/include/zombie/ui/UIElement.h
[513/2102] ✓ Converted: RadialProgressBar.java → converted/include/zombie/ui/RadialProgressBar.h
[514/2102] ✓ Converted: UIServerToolbox.java → converted/include/zombie/ui/UIServerToolbox.h
[515/2102] ✓ Converted: SpeedControls.java → converted/include/zombie/ui/SpeedControls.h
[516/2102] ✓ Converted: UI_BodyPart.java → converted/include/zombie/ui/UI_BodyPart.h
[517/2102] ✓ Converted: NewWindow.java → converted/include/zombie/ui/NewWindow.h
[518/2102] ✓ Converted: UIManager.java → converted/include/zombie/ui/UIManager.h
[519/2102] ✓ Converted: UIFont.java → converted/include/zombie/ui/UIFont.h
[520/2102] ✓ Converted: TutorialManager.java → converted/include/zombie/ui/TutorialManager.h
[521/2102] ✓ Converted: FPSGraph.java → converted/include/zombie/ui/FPSGraph.h
[522/2102] ✓ Converted: MoodlesUI.java → converted/include/zombie/ui/MoodlesUI.h
[523/2102] ✓ Converted: TextManager.java → converted/include/zombie/ui/TextManager.h
[524/2102] ✓ Converted: UITextBox2.java → converted/include/zombie/ui/UITextBox2.h
[525/2102] ✓ Converted: VehicleGauge.java → converted/include/zombie/ui/VehicleGauge.h
[526/2102] ✓ Converted: FontsFile.java → converted/include/zombie/ui/FontsFile.h
[527/2102] ✓ Converted: ObjectTooltip.java → converted/include/zombie/ui/ObjectTooltip.h
[528/2102] ✓ Converted: FontsFileFont.java → converted/include/zombie/ui/FontsFileFont.h
[529/2102] ✓ Converted: ModalDialog.java → converted/include/zombie/ui/ModalDialog.h
[530/2102] ✓ Converted: TextDrawObject.java → converted/include/zombie/ui/TextDrawObject.h
[531/2102] ✓ Converted: UIDialoguePanel.java → converted/include/zombie/ui/UIDialoguePanel.h
[532/2102] ✓ Converted: RadialMenu.java → converted/include/zombie/ui/RadialMenu.h
[533/2102] ✓ Converted: ScrollBar.java → converted/include/zombie/ui/ScrollBar.h
[534/2102] ✓ Converted: DialogButton.java → converted/include/zombie/ui/DialogButton.h
[535/2102] ✓ Converted: UITransition.java → converted/include/zombie/ui/UITransition.h
[536/2102] ✓ Converted: UINineGrid.java → converted/include/zombie/ui/UINineGrid.h
[537/2102] ✓ Converted: GenericButton.java → converted/include/zombie/ui/GenericButton.h
[538/2102] ✓ Converted: Clock.java → converted/include/zombie/ui/Clock.h
[539/2102] ✓ Converted: HUDButton.java → converted/include/zombie/ui/HUDButton.h
[540/2102] ✓ Converted: TextDrawHorizontal.java → converted/include/zombie/ui/TextDrawHorizontal.h
[541/2102] ✓ Converted: ActionProgressBar.java → converted/include/zombie/ui/ActionProgressBar.h
[542/2102] ✓ Converted: LuaBackendClass.java → converted/include/zombie/Lua/LuaBackendClass.h
[543/2102] ✓ Converted: KahluaNumberConverter.java → converted/include/zombie/Lua/KahluaNumberConverter.h
[544/2102] ✓ Converted: LuaHookManager.java → converted/include/zombie/Lua/LuaHookManager.h
[545/2102] ✓ Converted: LuaEventManager.java → converted/include/zombie/Lua/LuaEventManager.h
[546/2102] ✓ Converted: Event.java → converted/include/zombie/Lua/Event.h
[547/2102] ✓ Converted: LuaManager.java → converted/include/zombie/Lua/LuaManager.h
[548/2102] ✓ Converted: MapObjects.java → converted/include/zombie/Lua/MapObjects.h
[549/2102] ✓ Converted: RadioXmlReader.java → converted/include/zombie/radio/RadioXmlReader.h
[550/2102] ✓ Converted: RadioDebugConsole.java → converted/include/zombie/radio/RadioDebugConsole.h
[551/2102] ✓ Converted: ChannelCategory.java → converted/include/zombie/radio/ChannelCategory.h
[552/2102] ✓ Converted: RadioData.java → converted/include/zombie/radio/RadioData.h
[553/2102] ✓ Converted: GameMode.java → converted/include/zombie/radio/GameMode.h
[554/2102] ✓ Converted: ZomboidRadio.java → converted/include/zombie/radio/ZomboidRadio.h
[555/2102] ✓ Converted: RadioAPI.java → converted/include/zombie/radio/RadioAPI.h
[556/2102] ✓ Converted: RadioTranslationData.java → converted/include/zombie/radio/RadioTranslationData.h
[557/2102] ✓ Converted: NetworkZombieSimulator.java → converted/include/zombie/popman/NetworkZombieSimulator.h
[558/2102] ✓ Converted: ZombiePopulationManager.java → converted/include/zombie/popman/ZombiePopulationManager.h
[559/2102] ✓ Converted: ZombieCountOptimiser.java → converted/include/zombie/popman/ZombieCountOptimiser.h
[560/2102] ✓ Converted: DebugCommands.java → converted/include/zombie/popman/DebugCommands.h
[561/2102] ✓ Converted: LoadedAreas.java → converted/include/zombie/popman/LoadedAreas.h
[562/2102] ✓ Converted: NetworkZombiePacker.java → converted/include/zombie/popman/NetworkZombiePacker.h
[563/2102] ✓ Converted: ZombiePopulationRenderer.java → converted/include/zombie/popman/ZombiePopulationRenderer.h
[564/2102] ✓ Converted: PlayerSpawns.java → converted/include/zombie/popman/PlayerSpawns.h
[565/2102] ✓ Converted: NetworkZombieList.java → converted/include/zombie/popman/NetworkZombieList.h
[566/2102] ✓ Converted: ObjectPool.java → converted/include/zombie/popman/ObjectPool.h
[567/2102] ✓ Converted: MPDebugInfo.java → converted/include/zombie/popman/MPDebugInfo.h
[568/2102] ✓ Converted: NetworkZombieManager.java → converted/include/zombie/popman/NetworkZombieManager.h
[569/2102] ✓ Converted: ZombieTriggerXmlFile.java → converted/include/zombie/popman/ZombieTriggerXmlFile.h
[570/2102] ✓ Converted: CommandNames.java → converted/include/zombie/commands/CommandNames.h
[571/2102] ✓ Converted: CommandHelp.java → converted/include/zombie/commands/CommandHelp.h
[572/2102] ✓ Converted: RequiredRight.java → converted/include/zombie/commands/RequiredRight.h
[573/2102] ✓ Converted: CommandArgs.java → converted/include/zombie/commands/CommandArgs.h
[574/2102] ✓ Converted: DisabledCommand.java → converted/include/zombie/commands/DisabledCommand.h
[575/2102] ✓ Converted: AltCommandArgs.java → converted/include/zombie/commands/AltCommandArgs.h
[576/2102] ✓ Converted: CommandBase.java → converted/include/zombie/commands/CommandBase.h
[577/2102] ✓ Converted: CommandName.java → converted/include/zombie/commands/CommandName.h
[578/2102] ✓ Converted: PlayerType.java → converted/include/zombie/commands/PlayerType.h
[579/2102] ✓ Converted: PlayerDBHelper.java → converted/include/zombie/savefile/PlayerDBHelper.h
[580/2102] ✓ Converted: ClientPlayerDB.java → converted/include/zombie/savefile/ClientPlayerDB.h
[581/2102] ✓ Converted: PlayerDB.java → converted/include/zombie/savefile/PlayerDB.h
[582/2102] ✓ Converted: ServerPlayerDB.java → converted/include/zombie/savefile/ServerPlayerDB.h
[583/2102] ✓ Converted: SavefileThumbnail.java → converted/include/zombie/savefile/SavefileThumbnail.h
[584/2102] ✓ Converted: ChatSettings.java → converted/include/zombie/chat/ChatSettings.h
[585/2102] ✓ Converted: ChatElementOwner.java → converted/include/zombie/chat/ChatElementOwner.h
[586/2102] ✓ Converted: ChatMessage.java → converted/include/zombie/chat/ChatMessage.h
[587/2102] ✓ Converted: NineGridTexture.java → converted/include/zombie/chat/NineGridTexture.h
[588/2102] ✓ Converted: ChatManager.java → converted/include/zombie/chat/ChatManager.h
[589/2102] ✓ Converted: ChatTab.java → converted/include/zombie/chat/ChatTab.h
[590/2102] ✓ Converted: ChatBase.java → converted/include/zombie/chat/ChatBase.h
[591/2102] ✓ Converted: ChatUtility.java → converted/include/zombie/chat/ChatUtility.h
[592/2102] ✓ Converted: ChatMode.java → converted/include/zombie/chat/ChatMode.h
[593/2102] ✓ Converted: ChatElement.java → converted/include/zombie/chat/ChatElement.h
[594/2102] ✓ Converted: WhisperChatCreation.java → converted/include/zombie/chat/WhisperChatCreation.h
[595/2102] ✓ Converted: ServerChatMessage.java → converted/include/zombie/chat/ServerChatMessage.h
[596/2102] ✓ Converted: WinReqistry.java → converted/include/zombie/core/WinReqistry.h
[597/2102] ✓ Converted: IndieFileLoader.java → converted/include/zombie/core/IndieFileLoader.h
[598/2102] ✓ Converted: LanguageFile.java → converted/include/zombie/core/LanguageFile.h
[599/2102] ✓ Converted: FastTrig.java → converted/include/zombie/core/FastTrig.h
[600/2102] ✓ Converted: Color.java → converted/include/zombie/core/Color.h
[601/2102] ✓ Converted: GameVersion.java → converted/include/zombie/core/GameVersion.h
[602/2102] ✓ Converted: BoxedStaticValues.java → converted/include/zombie/core/BoxedStaticValues.h
[603/2102] ✓ Converted: Clipboard.java → converted/include/zombie/core/Clipboard.h
[604/2102] ✓ Converted: ImmutableColor.java → converted/include/zombie/core/ImmutableColor.h
[605/2102] ✓ Converted: Core.java → converted/include/zombie/core/Core.h
[606/2102] ✓ Converted: Languages.java → converted/include/zombie/core/Languages.h
[607/2102] ✓ Converted: Rand.java → converted/include/zombie/core/Rand.h
[608/2102] ✓ Converted: Translator.java → converted/include/zombie/core/Translator.h
[609/2102] ✓ Converted: ProxyPrintStream.java → converted/include/zombie/core/ProxyPrintStream.h
[610/2102] ✓ Converted: Colors.java → converted/include/zombie/core/Colors.h
[611/2102] ✓ Converted: GUID.java → converted/include/zombie/core/GUID.h
[612/2102] ✓ Converted: TilePropertyAliasMap.java → converted/include/zombie/core/TilePropertyAliasMap.h
[613/2102] ✓ Converted: LanguageFileData.java → converted/include/zombie/core/LanguageFileData.h
[614/2102] ✓ Converted: Language.java → converted/include/zombie/core/Language.h
[615/2102] ✓ Converted: SpriteRenderer.java → converted/include/zombie/core/SpriteRenderer.h
[616/2102] ✓ Converted: ThreadGroups.java → converted/include/zombie/core/ThreadGroups.h
[617/2102] ✓ Converted: PerformanceSettings.java → converted/include/zombie/core/PerformanceSettings.h
[618/2102] ✓ Converted: PolygonalMap2.java → converted/include/zombie/vehicles/PolygonalMap2.h
[619/2102] ✓ Converted: VehicleType.java → converted/include/zombie/vehicles/VehicleType.h
[620/2102] ✓ Converted: QuadranglesIntersection.java → converted/include/zombie/vehicles/QuadranglesIntersection.h
[621/2102] ✓ Converted: CollideWithObstaclesPoly.java → converted/include/zombie/vehicles/CollideWithObstaclesPoly.h
[622/2102] ✓ Converted: VehicleInterpolation.java → converted/include/zombie/vehicles/VehicleInterpolation.h
[623/2102] ✓ Converted: SurroundVehicle.java → converted/include/zombie/vehicles/SurroundVehicle.h
[624/2102] ✓ Converted: VehicleInterpolationTest.java → converted/include/zombie/vehicles/VehicleInterpolationTest.h
[625/2102] ✓ Converted: VehicleModelCamera.java → converted/include/zombie/vehicles/VehicleModelCamera.h
[626/2102] ✓ Converted: BaseVehicle.java → converted/include/zombie/vehicles/BaseVehicle.h
[627/2102] ✓ Converted: test_IsQuadranglesAreTransposed.java → converted/include/zombie/vehicles/test_IsQuadranglesAreTransposed.h
[628/2102] ✓ Converted: AttackVehicleState.java → converted/include/zombie/vehicles/AttackVehicleState.h
[629/2102] ✓ Converted: PathFindBehavior2.java → converted/include/zombie/vehicles/PathFindBehavior2.h
[630/2102] ✓ Converted: testall_vehicles.java → converted/include/zombie/vehicles/testall_vehicles.h
[631/2102] ✓ Converted: PolyPolyIntersect.java → converted/include/zombie/vehicles/PolyPolyIntersect.h
[632/2102] ✓ Converted: VehicleIDMap.java → converted/include/zombie/vehicles/VehicleIDMap.h
[633/2102] ✓ Converted: test_VehicleCache.java → converted/include/zombie/vehicles/test_VehicleCache.h
[634/2102] ✓ Converted: EngineRPMData.java → converted/include/zombie/vehicles/EngineRPMData.h
[635/2102] ✓ Converted: CollideWithObstacles.java → converted/include/zombie/vehicles/CollideWithObstacles.h
[636/2102] ✓ Converted: PathFindState2.java → converted/include/zombie/vehicles/PathFindState2.h
[637/2102] ✓ Converted: Clipper.java → converted/include/zombie/vehicles/Clipper.h
[638/2102] ✓ Converted: VehicleCache.java → converted/include/zombie/vehicles/VehicleCache.h
[639/2102] ✓ Converted: ClipperOffset.java → converted/include/zombie/vehicles/ClipperOffset.h
[640/2102] ✓ Converted: VehicleInterpolationData.java → converted/include/zombie/vehicles/VehicleInterpolationData.h
[641/2102] ✓ Converted: LightbarLightsMode.java → converted/include/zombie/vehicles/LightbarLightsMode.h
[642/2102] ✓ Converted: VehicleWindow.java → converted/include/zombie/vehicles/VehicleWindow.h
[643/2102] ✓ Converted: VehicleEngineRPM.java → converted/include/zombie/vehicles/VehicleEngineRPM.h
[644/2102] ✓ Converted: VehicleDoor.java → converted/include/zombie/vehicles/VehicleDoor.h
[645/2102] ✓ Converted: VehiclesDB2.java → converted/include/zombie/vehicles/VehiclesDB2.h
[646/2102] ✓ Converted: VehicleLight.java → converted/include/zombie/vehicles/VehicleLight.h
[647/2102] ✓ Converted: LightbarSirenMode.java → converted/include/zombie/vehicles/LightbarSirenMode.h
[648/2102] ✓ Converted: VehicleManager.java → converted/include/zombie/vehicles/VehicleManager.h
[649/2102] ✓ Converted: VehiclePart.java → converted/include/zombie/vehicles/VehiclePart.h
[650/2102] ✓ Converted: EditVehicleState.java → converted/include/zombie/vehicles/EditVehicleState.h
[651/2102] ✓ Converted: CircleLineIntersect.java → converted/include/zombie/vehicles/CircleLineIntersect.h
[652/2102] ✓ Converted: VehicleDBHelper.java → converted/include/zombie/vehicles/VehicleDBHelper.h
[653/2102] ✓ Converted: TransmissionNumber.java → converted/include/zombie/vehicles/TransmissionNumber.h
[654/2102] ✓ Converted: UI3DScene.java → converted/include/zombie/vehicles/UI3DScene.h
[655/2102] ✓ Converted: IntegerConfigOption.java → converted/include/zombie/config/IntegerConfigOption.h
[656/2102] ✓ Converted: ConfigOption.java → converted/include/zombie/config/ConfigOption.h
[657/2102] ✓ Converted: DoubleConfigOption.java → converted/include/zombie/config/DoubleConfigOption.h
[658/2102] ✓ Converted: EnumConfigOption.java → converted/include/zombie/config/EnumConfigOption.h
[659/2102] ✓ Converted: BooleanConfigOption.java → converted/include/zombie/config/BooleanConfigOption.h
[660/2102] ✓ Converted: ConfigFile.java → converted/include/zombie/config/ConfigFile.h
[661/2102] ✓ Converted: StringConfigOption.java → converted/include/zombie/config/StringConfigOption.h
[662/2102] ✓ Converted: ServerWorldDatabase.java → converted/include/zombie/network/ServerWorldDatabase.h
[663/2102] ✓ Converted: RCONServer.java → converted/include/zombie/network/RCONServer.h
[664/2102] ✓ Converted: ClientServerMap.java → converted/include/zombie/network/ClientServerMap.h
[665/2102] ✓ Converted: DiscordBot.java → converted/include/zombie/network/DiscordBot.h
[666/2102] ✓ Converted: MPStatisticClient.java → converted/include/zombie/network/MPStatisticClient.h
[667/2102] ✓ Converted: DBTicket.java → converted/include/zombie/network/DBTicket.h
[668/2102] ✓ Converted: Userlog.java → converted/include/zombie/network/Userlog.h
[669/2102] ✓ Converted: ServerLOS.java → converted/include/zombie/network/ServerLOS.h
[670/2102] ✓ Converted: ClientChunkRequest.java → converted/include/zombie/network/ClientChunkRequest.h
[671/2102] ✓ Converted: IsoObjectID.java → converted/include/zombie/network/IsoObjectID.h
[672/2102] ✓ Converted: MPStatisticsTest.java → converted/include/zombie/network/MPStatisticsTest.h
[673/2102] ✓ Converted: NetworkAIParams.java → converted/include/zombie/network/NetworkAIParams.h
[674/2102] ✓ Converted: SpawnRegions.java → converted/include/zombie/network/SpawnRegions.h
[675/2102] ✓ Converted: ItemTransactionManager.java → converted/include/zombie/network/ItemTransactionManager.h
[676/2102] ✓ Converted: ServerPlayersVehicles.java → converted/include/zombie/network/ServerPlayersVehicles.h
[677/2102] ✓ Converted: BodyDamageSync.java → converted/include/zombie/network/BodyDamageSync.h
[678/2102] ✓ Converted: PassengerMap.java → converted/include/zombie/network/PassengerMap.h
[679/2102] ✓ Converted: LoginQueue.java → converted/include/zombie/network/LoginQueue.h
[680/2102] ✓ Converted: ConnectionManager.java → converted/include/zombie/network/ConnectionManager.h
[681/2102] ✓ Converted: ServerGUI.java → converted/include/zombie/network/ServerGUI.h
[682/2102] ✓ Converted: PacketValidator.java → converted/include/zombie/network/PacketValidator.h
[683/2102] ✓ Converted: DiscordSender.java → converted/include/zombie/network/DiscordSender.h
[684/2102] ✓ Converted: DesktopBrowser.java → converted/include/zombie/network/DesktopBrowser.h
[685/2102] ✓ Converted: ChunkChecksum.java → converted/include/zombie/network/ChunkChecksum.h
[686/2102] ✓ Converted: ReplayManager.java → converted/include/zombie/network/ReplayManager.h
[687/2102] ✓ Converted: ServerSettingsManager.java → converted/include/zombie/network/ServerSettingsManager.h
[688/2102] ✓ Converted: DBSchema.java → converted/include/zombie/network/DBSchema.h
[689/2102] ✓ Converted: GameServerWorkshopItems.java → converted/include/zombie/network/GameServerWorkshopItems.h
[690/2102] ✓ Converted: ServerSettings.java → converted/include/zombie/network/ServerSettings.h
[691/2102] ✓ Converted: ConnectionDetails.java → converted/include/zombie/network/ConnectionDetails.h
[692/2102] ✓ Converted: NetworkVariables.java → converted/include/zombie/network/NetworkVariables.h
[693/2102] ✓ Converted: ICoopServerMessageListener.java → converted/include/zombie/network/ICoopServerMessageListener.h
[694/2102] ✓ Converted: PacketTypes.java → converted/include/zombie/network/PacketTypes.h
[695/2102] ✓ Converted: MPStatistic.java → converted/include/zombie/network/MPStatistic.h
[696/2102] ✓ Converted: PlayerDownloadServer.java → converted/include/zombie/network/PlayerDownloadServer.h
[697/2102] ✓ Converted: ZomboidNetData.java → converted/include/zombie/network/ZomboidNetData.h
[698/2102] ✓ Converted: ServerMap.java → converted/include/zombie/network/ServerMap.h
[699/2102] ✓ Converted: Server.java → converted/include/zombie/network/Server.h
[700/2102] ✓ Converted: MD5Checksum.java → converted/include/zombie/network/MD5Checksum.h
[701/2102] ✓ Converted: GameClient.java → converted/include/zombie/network/GameClient.h
[702/2102] ✓ Converted: MPStatistics.java → converted/include/zombie/network/MPStatistics.h
[703/2102] ✓ Converted: FakeClientManager.java → converted/include/zombie/network/FakeClientManager.h
[704/2102] ✓ Converted: TableNetworkUtils.java → converted/include/zombie/network/TableNetworkUtils.h
[705/2102] ✓ Converted: RCONClient.java → converted/include/zombie/network/RCONClient.h
[706/2102] ✓ Converted: IZomboidPacket.java → converted/include/zombie/network/IZomboidPacket.h
[707/2102] ✓ Converted: RequestDataManager.java → converted/include/zombie/network/RequestDataManager.h
[708/2102] ✓ Converted: NetChecksum.java → converted/include/zombie/network/NetChecksum.h
[709/2102] ✓ Converted: ServerOptions.java → converted/include/zombie/network/ServerOptions.h
[710/2102] ✓ Converted: ServerChunkLoader.java → converted/include/zombie/network/ServerChunkLoader.h
[711/2102] ✓ Converted: CoopSlave.java → converted/include/zombie/network/CoopSlave.h
[712/2102] ✓ Converted: DBResult.java → converted/include/zombie/network/DBResult.h
[713/2102] ✓ Converted: GameServer.java → converted/include/zombie/network/GameServer.h
[714/2102] ✓ Converted: CoopMaster.java → converted/include/zombie/network/CoopMaster.h
[715/2102] ✓ Converted: WorldItemTypes.java → converted/include/zombie/network/WorldItemTypes.h
[716/2102] ✓ Converted: ZomboidNetDataPool.java → converted/include/zombie/network/ZomboidNetDataPool.h
[717/2102] ✓ Converted: CustomBooleanSandboxOption.java → converted/include/zombie/sandbox/CustomBooleanSandboxOption.h
[718/2102] ✓ Converted: CustomSandboxOption.java → converted/include/zombie/sandbox/CustomSandboxOption.h
[719/2102] ✓ Converted: CustomEnumSandboxOption.java → converted/include/zombie/sandbox/CustomEnumSandboxOption.h
[720/2102] ✓ Converted: CustomDoubleSandboxOption.java → converted/include/zombie/sandbox/CustomDoubleSandboxOption.h
[721/2102] ✓ Converted: CustomIntegerSandboxOption.java → converted/include/zombie/sandbox/CustomIntegerSandboxOption.h
[722/2102] ✓ Converted: CustomStringSandboxOption.java → converted/include/zombie/sandbox/CustomStringSandboxOption.h
[723/2102] ✓ Converted: CustomSandboxOptions.java → converted/include/zombie/sandbox/CustomSandboxOptions.h
[724/2102] ✓ Converted: Meta.java → converted/include/zombie/meta/Meta.h
[725/2102] ✓ Converted: TermsOfServiceState.java → converted/include/zombie/gameStates/TermsOfServiceState.h
[726/2102] ✓ Converted: IngameState.java → converted/include/zombie/gameStates/IngameState.h
[727/2102] ✓ Converted: ChooseGameInfo.java → converted/include/zombie/gameStates/ChooseGameInfo.h
[728/2102] ✓ Converted: DebugChunkState.java → converted/include/zombie/gameStates/DebugChunkState.h
[729/2102] ✓ Converted: TISLogoState.java → converted/include/zombie/gameStates/TISLogoState.h
[730/2102] ✓ Converted: GameStateMachine.java → converted/include/zombie/gameStates/GameStateMachine.h
[731/2102] ✓ Converted: GameLoadingState.java → converted/include/zombie/gameStates/GameLoadingState.h
[732/2102] ✓ Converted: LoadingQueueState.java → converted/include/zombie/gameStates/LoadingQueueState.h
[733/2102] ✓ Converted: GameState.java → converted/include/zombie/gameStates/GameState.h
[734/2102] ✓ Converted: AnimationViewerState.java → converted/include/zombie/gameStates/AnimationViewerState.h
[735/2102] ✓ Converted: ConnectToServerState.java → converted/include/zombie/gameStates/ConnectToServerState.h
[736/2102] ✓ Converted: MainScreenState.java → converted/include/zombie/gameStates/MainScreenState.h
[737/2102] ✓ Converted: DebugGlobalObjectState.java → converted/include/zombie/gameStates/DebugGlobalObjectState.h
[738/2102] ✓ Converted: ServerDisconnectState.java → converted/include/zombie/gameStates/ServerDisconnectState.h
[739/2102] ✓ Converted: AttachmentEditorState.java → converted/include/zombie/gameStates/AttachmentEditorState.h
[740/2102] ✓ Converted: ItemContainer.java → converted/include/zombie/inventory/ItemContainer.h
[741/2102] ✓ Converted: RecipeManager.java → converted/include/zombie/inventory/RecipeManager.h
[742/2102] ✓ Converted: ItemPickerJava.java → converted/include/zombie/inventory/ItemPickerJava.h
[743/2102] ✓ Converted: ItemType.java → converted/include/zombie/inventory/ItemType.h
[744/2102] ✓ Converted: ItemSoundManager.java → converted/include/zombie/inventory/ItemSoundManager.h
[745/2102] ✓ Converted: InventoryItemFactory.java → converted/include/zombie/inventory/InventoryItemFactory.h
[746/2102] ✓ Converted: InventoryItem.java → converted/include/zombie/inventory/InventoryItem.h
[747/2102] ✓ Converted: ClothingItemsDotTxt.java → converted/include/zombie/inventory/ClothingItemsDotTxt.h
[748/2102] ✓ Converted: CompressIdenticalItems.java → converted/include/zombie/inventory/CompressIdenticalItems.h
[749/2102] ✓ Converted: FixingManager.java → converted/include/zombie/inventory/FixingManager.h
[750/2102] ✓ Converted: ItemUser.java → converted/include/zombie/inventory/ItemUser.h
[751/2102] ✓ Converted: OpenSimplexNoise.java → converted/include/zombie/creative/creativerects/OpenSimplexNoise.h
[752/2102] ✓ Converted: VehicleScript.java → converted/include/zombie/scripting/objects/VehicleScript.h
[753/2102] ✓ Converted: MannequinScript.java → converted/include/zombie/scripting/objects/MannequinScript.h
[754/2102] ✓ Converted: MovableRecipe.java → converted/include/zombie/scripting/objects/MovableRecipe.h
[755/2102] ✓ Converted: EvolvedRecipe.java → converted/include/zombie/scripting/objects/EvolvedRecipe.h
[756/2102] ✓ Converted: Fixing.java → converted/include/zombie/scripting/objects/Fixing.h
[757/2102] ✓ Converted: ModelScript.java → converted/include/zombie/scripting/objects/ModelScript.h
[758/2102] ✓ Converted: Item.java → converted/include/zombie/scripting/objects/Item.h
[759/2102] ✓ Converted: BaseScriptObject.java → converted/include/zombie/scripting/objects/BaseScriptObject.h
[760/2102] ✓ Converted: ScriptModule.java → converted/include/zombie/scripting/objects/ScriptModule.h
[761/2102] ✓ Converted: ModelAttachment.java → converted/include/zombie/scripting/objects/ModelAttachment.h
[762/2102] ✓ Converted: UniqueRecipe.java → converted/include/zombie/scripting/objects/UniqueRecipe.h
[763/2102] ✓ Converted: Recipe.java → converted/include/zombie/scripting/objects/Recipe.h
[764/2102] ✓ Converted: GameSoundScript.java → converted/include/zombie/scripting/objects/GameSoundScript.h
